id,ean,title,title_gr,brand,cat1,cat2,cat3,subcategory,unit_basis,pack_size_ml,organic,vegan,vegetarian,gluten_free,lactose_free,kosher,meat_free,image_url,first_seen,last_seen,delisted_on
745471,5290189000259,Papadopoulou Large Garbage Bags for Recycling Paper 60x73cm 20 pcs,Παπαδοπούλου Μεγάλα Σκυβαλοσάκουλα για Ανακύκλωση Χαρτιού 60x73cm 20 Τεμάχια,Papadopoulou,Household,Garbage Bags,,Garbage Bags,pc,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/745471.jpg,2026-09-12,2026-09-18,
745697,4008033612166,Fackelmann Adhesive Hooks 2 Pieces,Fackelmann Κρεμαστράκι 2 Τεμάχια,Fackelmann,Homeware,Kitchenware,Kitchen Tools,Kitchen Tools,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/745697.jpg,2026-09-12,2026-09-18,
745907,8005989202010,Tontarelli Plastic Food Container Square 0.5 L CE,Tontarelli Πλαστικό δοχείο φαγητού Τετράγωνο 0.5 L CE,Tontarelli,Homeware,Kitchenware,Kitchen Storage & Organization,Food Storage,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/745907.jpg,2026-09-12,2026-09-18,
745908,8005989202164,Tontarelli Plastic Food Container 1.15 L CE,Tontarelli Πλαστικό δοχείο φαγητού 1.15 L CE,Tontarelli,Homeware,Kitchenware,Kitchen Storage & Organization,Food Storage,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/745908.jpg,2026-09-12,2026-09-18,
745909,8005989202195,Tontarelli Plastic Food Container Rectangular 2 L CE,Tontarelli Πλαστικό δοχείο φαγητού Ορθογώνιο 2 L CE,Tontarelli,Homeware,Kitchenware,Kitchen Storage & Organization,Food Storage,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/745909.jpg,2026-09-12,2026-09-18,
745910,8005989202225,Tontarelli Plastic Food Container Rectangular 3 L CE,Tontarelli Πλαστικό δοχείο φαγητού Ορθογώνιο 3 L CE,Tontarelli,Homeware,Kitchenware,Kitchen Storage & Organization,Food Storage,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/745910.jpg,2026-09-12,2026-09-18,
745911,8005989202522,Tontarelli Plastic Food Container Rectangular 5 L CE,Tontarelli Πλαστικό δοχείο φαγητού Ορθογώνιο 5 L CE,Tontarelli,Homeware,Kitchenware,Kitchen Storage & Organization,Food Storage,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/745911.jpg,2026-09-12,2026-09-18,
745912,8005989202485,Tontarelli Plastic Food Container Square 7 L CE,Tontarelli Πλαστικό δοχείο φαγητού Τετράγωνο 7 L CE,Tontarelli,Homeware,Kitchenware,Kitchen Storage & Organization,Food Storage,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/745912.jpg,2026-09-12,2026-09-18,
745953,5290119004890,Lordos Orange Bags for Garden & Outdoor Use 95x125cm 10 Pieces,Lordos Πορτοκαλί Σακούλες για Κήπο & Εξωτερικούς Χώρους 95x125cm 10 Τεμάχια,Lordos,Household,Garbage Bags,,Garbage Bags,pc,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/745953.jpg,2026-09-12,2026-09-18,
746142,5201184032022,Kokliko Wooden Toothpicks Approximately 250 Pieces,Kokliko Ξύλινες Οδοντογλυφίδες Περίπου 250 Τεμάχια,Kokliko,Household,Party Tableware,"Plates, Cutlery & Toothpicks","Plates, Cutlery & Toothpicks",pc,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/746142.jpg,2026-09-12,2026-09-18,
