station_id,brand,name,address,phone,area,district,first_seen,last_seen
c0388ce15031,PETROLINA,ΑΝΔΡΕΑΣ ΖΑΧΑΡΙΟΥ & ΥΙΟΙ ΛΙΜΙΤΕΔ,Λεωφ.Τιμίου Προδρόμου 44 Τ.Κ 7020,24426868,Δρομολαξιά,Larnaca,2026-09-13,2026-09-13
e7be22647dd4,PETROLINA,ΓΕΩΡΓΙΑ ΝΙΚΟΛΑΟΥ ΛΤΔ,Λεωφ. Γ.Γρίβα Διγενή 17 & Αγίας Λαύρας Τ.Κ 6010,24652638,Λάρνακα,Larnaca,2026-09-13,2026-09-13
6c1ec11817fc,PETROLINA,ΔΗΜΟΣ ΚΑΛΛΕΝΟΣ & ΥΙΟΣ ΛΙΜΙΤΕΔ,Παλαιός Δρόμος Λάρνακας-Ορμήδειας Τ.Κ 7530,24721030,Ορμήδεια,Larnaca,2026-09-13,2026-09-13
acf6a1b651b0,PETROLINA,ΚΩΣΤΑΣ ΓΕΩΡΓΙΟΥ (ΒΙΤΤΗΣ),Λεωφ. Αμμοχώστου Τ.Κ 7643,24364365,Καλό Χωριό Λάρνακας,Larnaca,2026-09-13,2026-09-13
25e9844b870d,PETROLINA,ΚΩΣΤΑΣ ΣΩΤΗΡΙΟΥ & ΥΙΟΣ (ΣΤΑΘΜΟΣ ΒΕΝΖΙΝΗΣ) ΛΙΜΙΤΕΔ,Λεωφ. Γ.Γρίβα Διγενή 16 Τ.Κ 6010,24652402,Λάρνακα,Larnaca,2026-09-13,2026-09-13
03fef4e54d18,PETROLINA,ΜΗΛΙΑ ΣΩΖΟΥ ΛΙΜΙΤΕΔ,"Παλαιός Δρόμος Λευκωσίας - Λεμεσού, Καλαβασός Τ.Κ 7733",24332277,Καλαβασός,Larnaca,2026-09-13,2026-09-13
04f7bb8cfb51,PETROLINA,ΜΙΧΑΛΗΣ ΚΑΤΖΗΣ & ΚΥΡΙΑΚΟΣ ΕΓΓΛΕΖΟΣ,Αναστάσιου Μανώλη 4 Τ.Κ 7520,24725356,Ξυλοφάγου,Larnaca,2026-09-13,2026-09-13
39363f6470ee,PETROLINA,ΧΡΥΣΟΥΛΛΑ & ΚΥΡΙΑΚΟΣ ΧΑΤΖΗΠΑΝΑΓΗ & ΥΙΟΙ ΛΤΔ,"Παλαιός Δρόμος Λευκωσίας-Λεμεσού, Κοφίνου Τ.Κ 7735",24322215,Κοφίνου,Larnaca,2026-09-13,2026-09-13
bb62751b98a5,SHELL,CORAL ENERGY PRODUCTS CYPRUS LTD,Λεωφ. Αρτέμιδος 67 Τ.Κ 6027,24664409,Λάρνακα,Larnaca,2026-09-13,2026-09-13
285b1e3703eb,SHELL,CORAL ENERGY PRODUCTS CYPRUS LTD,Λεωφ. Αρχ. Μακαρίου Γ΄ 57 Τ.Κ 6017,24652236,Λάρνακα,Larnaca,2026-09-13,2026-09-13
4ca921929927,SHELL,PKP FUEL CO. LTD,Ανδρέα Σουρουκλή 14 (δρόμος Λειβαδιών προς Κελλιά - πλησίον Κοιν. Σταδίου Λειβαδιών) Τ.Κ 7060,24663338,Λειβάδια,Larnaca,2026-09-13,2026-09-13
f75770842fc7,SHELL,ΑΡΓΥΡΟΥΛΛΑ & ΒΑΣΙΛΙΚΗ ΜΗΝΑ ΠΡΑΤΗΡΙΟ ΠΕΤΡΕΛΑΙΟΕΙΔΩΝ ΛΤΔ,Λεωφ.Ανεξαρτησίας 1 Τ.Κ 7570,24432830,Αλεθρικό,Larnaca,2026-09-13,2026-09-13
dc094a637823,SHELL,Κ. ΜΙΧΑΗΛΑΣ & ΣΙΑ ΛΙΜΙΤΕΔ,Δρόμος Καλού Χωριού Λάρνακας Τ.Κ 7643,24102172,Καλό Χωριό Λάρνακας,Larnaca,2026-09-13,2026-09-13
