key,station_id,fuel,price,first_seen,last_seen,delisted_on
0f0ceccc2b7e:kerosene,0f0ceccc2b7e,kerosene,1.490,2026-09-13,2026-09-14,
0f0ceccc2b7e:unleaded95,0f0ceccc2b7e,unleaded95,1.645,2026-09-13,2026-09-14,
0f0ceccc2b7e:unleaded98,0f0ceccc2b7e,unleaded98,1.690,2026-09-13,2026-09-14,
0f4f50ae5f90:diesel,0f4f50ae5f90,diesel,1.919,2026-09-13,2026-09-14,
0f4f50ae5f90:heating_oil,0f4f50ae5f90,heating_oil,1.528,2026-09-13,2026-09-14,
0f4f50ae5f90:kerosene,0f4f50ae5f90,kerosene,1.435,2026-09-13,2026-09-14,
0f4f50ae5f90:unleaded95,0f4f50ae5f90,unleaded95,1.649,2026-09-13,2026-09-14,
0f4f50ae5f90:unleaded98,0f4f50ae5f90,unleaded98,1.699,2026-09-13,2026-09-14,
0fa89e115816:diesel,0fa89e115816,diesel,1.909,2026-09-13,2026-09-14,
0fa89e115816:heating_oil,0fa89e115816,heating_oil,1.528,2026-09-13,2026-09-14,
0fa89e115816:kerosene,0fa89e115816,kerosene,1.435,2026-09-13,2026-09-14,
0fa89e115816:unleaded95,0fa89e115816,unleaded95,1.649,2026-09-13,2026-09-14,
0fa89e115816:unleaded98,0fa89e115816,unleaded98,1.699,2026-09-13,2026-09-14,
1044095b4cde:diesel,1044095b4cde,diesel,1.899,2026-09-13,2026-09-14,
1044095b4cde:heating_oil,1044095b4cde,heating_oil,1.559,2026-09-13,2026-09-14,
1044095b4cde:kerosene,1044095b4cde,kerosene,1.489,2026-09-13,2026-09-14,
1044095b4cde:unleaded95,1044095b4cde,unleaded95,1.597,2026-09-13,2026-09-14,
1044095b4cde:unleaded98,1044095b4cde,unleaded98,1.707,2026-09-13,2026-09-14,
117c3b6f97d9:diesel,117c3b6f97d9,diesel,1.929,2026-09-13,2026-09-14,
117c3b6f97d9:heating_oil,117c3b6f97d9,heating_oil,1.559,2026-09-13,2026-09-14,
117c3b6f97d9:kerosene,117c3b6f97d9,kerosene,1.469,2026-09-13,2026-09-14,
117c3b6f97d9:unleaded95,117c3b6f97d9,unleaded95,1.667,2026-09-13,2026-09-14,
117c3b6f97d9:unleaded98,117c3b6f97d9,unleaded98,1.707,2026-09-13,2026-09-14,
119d69819e8d:diesel,119d69819e8d,diesel,1.919,2026-09-13,2026-09-14,
119d69819e8d:heating_oil,119d69819e8d,heating_oil,1.559,2026-09-13,2026-09-14,
119d69819e8d:kerosene,119d69819e8d,kerosene,1.489,2026-09-13,2026-09-14,
119d69819e8d:unleaded95,119d69819e8d,unleaded95,1.649,2026-09-13,2026-09-14,
119d69819e8d:unleaded98,119d69819e8d,unleaded98,1.689,2026-09-13,2026-09-14,
122aa6b021d2:diesel,122aa6b021d2,diesel,1.929,2026-09-13,2026-09-14,
122aa6b021d2:heating_oil,122aa6b021d2,heating_oil,1.549,2026-09-13,2026-09-14,
122aa6b021d2:kerosene,122aa6b021d2,kerosene,1.455,2026-09-13,2026-09-14,
122aa6b021d2:unleaded95,122aa6b021d2,unleaded95,1.669,2026-09-13,2026-09-14,
122aa6b021d2:unleaded98,122aa6b021d2,unleaded98,1.720,2026-09-13,2026-09-14,
123bfd0e9e3a:diesel,123bfd0e9e3a,diesel,1.889,2026-09-13,2026-09-14,
123bfd0e9e3a:heating_oil,123bfd0e9e3a,heating_oil,1.559,2026-09-13,2026-09-14,
123bfd0e9e3a:kerosene,123bfd0e9e3a,kerosene,1.489,2026-09-13,2026-09-14,
123bfd0e9e3a:unleaded95,123bfd0e9e3a,unleaded95,1.619,2026-09-13,2026-09-14,
123bfd0e9e3a:unleaded98,123bfd0e9e3a,unleaded98,1.689,2026-09-13,2026-09-14,
1476a096e3ba:diesel,1476a096e3ba,diesel,1.895,2026-09-13,2026-09-14,
1476a096e3ba:heating_oil,1476a096e3ba,heating_oil,1.523,2026-09-13,2026-09-14,
1476a096e3ba:kerosene,1476a096e3ba,kerosene,1.428,2026-09-13,2026-09-14,
1476a096e3ba:unleaded95,1476a096e3ba,unleaded95,1.625,2026-09-13,2026-09-14,
1476a096e3ba:unleaded98,1476a096e3ba,unleaded98,1.674,2026-09-13,2026-09-14,
14ab75b4aa66:diesel,14ab75b4aa66,diesel,1.894,2026-09-13,2026-09-14,
14ab75b4aa66:heating_oil,14ab75b4aa66,heating_oil,1.559,2026-09-13,2026-09-14,
14ab75b4aa66:kerosene,14ab75b4aa66,kerosene,1.469,2026-09-13,2026-09-14,
14ab75b4aa66:unleaded95,14ab75b4aa66,unleaded95,1.615,2026-09-13,2026-09-14,
14ab75b4aa66:unleaded98,14ab75b4aa66,unleaded98,1.645,2026-09-13,2026-09-14,
1552d6c63ab2:diesel,1552d6c63ab2,diesel,1.919,2026-09-13,2026-09-14,
1552d6c63ab2:heating_oil,1552d6c63ab2,heating_oil,1.559,2026-09-13,2026-09-14,
1552d6c63ab2:kerosene,1552d6c63ab2,kerosene,1.489,2026-09-13,2026-09-14,
1552d6c63ab2:unleaded95,1552d6c63ab2,unleaded95,1.649,2026-09-13,2026-09-14,
1552d6c63ab2:unleaded98,1552d6c63ab2,unleaded98,1.689,2026-09-13,2026-09-14,
15cf154d622b:diesel,15cf154d622b,diesel,1.939,2026-09-13,2026-09-14,
15cf154d622b:heating_oil,15cf154d622b,heating_oil,1.569,2026-09-13,2026-09-14,
15cf154d622b:kerosene,15cf154d622b,kerosene,1.489,2026-09-13,2026-09-14,
15cf154d622b:unleaded95,15cf154d622b,unleaded95,1.679,2026-09-13,2026-09-14,
15cf154d622b:unleaded98,15cf154d622b,unleaded98,1.739,2026-09-13,2026-09-14,
178bce87f3a6:diesel,178bce87f3a6,diesel,1.907,2026-09-13,2026-09-14,
178bce87f3a6:heating_oil,178bce87f3a6,heating_oil,1.559,2026-09-13,2026-09-14,
178bce87f3a6:kerosene,178bce87f3a6,kerosene,1.469,2026-09-13,2026-09-14,
178bce87f3a6:unleaded95,178bce87f3a6,unleaded95,1.647,2026-09-13,2026-09-14,
178bce87f3a6:unleaded98,178bce87f3a6,unleaded98,1.677,2026-09-13,2026-09-14,
17ee7f0dd4f0:diesel,17ee7f0dd4f0,diesel,1.909,2026-09-13,2026-09-14,
17ee7f0dd4f0:heating_oil,17ee7f0dd4f0,heating_oil,1.528,2026-09-13,2026-09-14,
17ee7f0dd4f0:kerosene,17ee7f0dd4f0,kerosene,1.435,2026-09-13,2026-09-14,
17ee7f0dd4f0:unleaded95,17ee7f0dd4f0,unleaded95,1.649,2026-09-13,2026-09-14,
17ee7f0dd4f0:unleaded98,17ee7f0dd4f0,unleaded98,1.699,2026-09-13,2026-09-14,
187618635ba0:diesel,187618635ba0,diesel,1.909,2026-09-13,2026-09-14,
187618635ba0:heating_oil,187618635ba0,heating_oil,1.528,2026-09-13,2026-09-14,
187618635ba0:kerosene,187618635ba0,kerosene,1.435,2026-09-13,2026-09-14,
187618635ba0:unleaded95,187618635ba0,unleaded95,1.649,2026-09-13,2026-09-14,
187618635ba0:unleaded98,187618635ba0,unleaded98,1.699,2026-09-13,2026-09-14,
1a10004ef1a9:diesel,1a10004ef1a9,diesel,1.859,2026-09-13,2026-09-14,
1a10004ef1a9:heating_oil,1a10004ef1a9,heating_oil,1.528,2026-09-13,2026-09-14,
1a10004ef1a9:kerosene,1a10004ef1a9,kerosene,1.435,2026-09-13,2026-09-14,
1a10004ef1a9:unleaded95,1a10004ef1a9,unleaded95,1.589,2026-09-13,2026-09-14,
1a10004ef1a9:unleaded98,1a10004ef1a9,unleaded98,1.699,2026-09-13,2026-09-14,
1a16860d8e30:diesel,1a16860d8e30,diesel,1.938,2026-09-13,2026-09-14,
1a16860d8e30:heating_oil,1a16860d8e30,heating_oil,1.583,2026-09-13,2026-09-14,
1a16860d8e30:unleaded95,1a16860d8e30,unleaded95,1.669,2026-09-13,2026-09-14,
1a16860d8e30:unleaded98,1a16860d8e30,unleaded98,1.689,2026-09-13,2026-09-14,
1b148a05085c:diesel,1b148a05085c,diesel,1.885,2026-09-13,2026-09-14,
1b148a05085c:heating_oil,1b148a05085c,heating_oil,1.499,2026-09-13,2026-09-14,
1b148a05085c:kerosene,1b148a05085c,kerosene,1.410,2026-09-13,2026-09-14,
1b148a05085c:unleaded95,1b148a05085c,unleaded95,1.625,2026-09-13,2026-09-14,
1b148a05085c:unleaded98,1b148a05085c,unleaded98,1.685,2026-09-13,2026-09-14,
1bae28692c95:diesel,1bae28692c95,diesel,1.919,2026-09-13,2026-09-14,
1bae28692c95:heating_oil,1bae28692c95,heating_oil,1.539,2026-09-13,2026-09-14,
1bae28692c95:kerosene,1bae28692c95,kerosene,1.439,2026-09-13,2026-09-14,
1bae28692c95:unleaded95,1bae28692c95,unleaded95,1.649,2026-09-13,2026-09-14,
1bae28692c95:unleaded98,1bae28692c95,unleaded98,1.689,2026-09-13,2026-09-14,
1ef5b819726d:diesel,1ef5b819726d,diesel,1.909,2026-09-13,2026-09-14,
1ef5b819726d:heating_oil,1ef5b819726d,heating_oil,1.529,2026-09-13,2026-09-14,
1ef5b819726d:kerosene,1ef5b819726d,kerosene,1.399,2026-09-13,2026-09-14,
1ef5b819726d:unleaded95,1ef5b819726d,unleaded95,1.649,2026-09-13,2026-09-14,
1ef5b819726d:unleaded98,1ef5b819726d,unleaded98,1.699,2026-09-13,2026-09-14,
1f9b60bded75:diesel,1f9b60bded75,diesel,1.859,2026-09-13,2026-09-14,
1f9b60bded75:heating_oil,1f9b60bded75,heating_oil,1.528,2026-09-13,2026-09-14,
1f9b60bded75:kerosene,1f9b60bded75,kerosene,1.435,2026-09-13,2026-09-14,
1f9b60bded75:unleaded95,1f9b60bded75,unleaded95,1.599,2026-09-13,2026-09-14,
1f9b60bded75:unleaded98,1f9b60bded75,unleaded98,1.699,2026-09-13,2026-09-14,
1fe98156d14c:diesel,1fe98156d14c,diesel,1.943,2026-09-13,2026-09-14,
1fe98156d14c:heating_oil,1fe98156d14c,heating_oil,1.573,2026-09-13,2026-09-14,
1fe98156d14c:kerosene,1fe98156d14c,kerosene,1.573,2026-09-13,2026-09-14,
1fe98156d14c:unleaded95,1fe98156d14c,unleaded95,1.675,2026-09-13,2026-09-14,
1fe98156d14c:unleaded98,1fe98156d14c,unleaded98,1.735,2026-09-13,2026-09-14,
216880e896f0:diesel,216880e896f0,diesel,1.908,2026-09-13,2026-09-14,
216880e896f0:heating_oil,216880e896f0,heating_oil,1.559,2026-09-13,2026-09-14,
216880e896f0:unleaded95,216880e896f0,unleaded95,1.648,2026-09-13,2026-09-14,
216880e896f0:unleaded98,216880e896f0,unleaded98,1.678,2026-09-13,2026-09-14,
233254a84b2d:diesel,233254a84b2d,diesel,1.929,2026-09-13,2026-09-14,
233254a84b2d:heating_oil,233254a84b2d,heating_oil,1.529,2026-09-13,2026-09-14,
233254a84b2d:kerosene,233254a84b2d,kerosene,1.438,2026-09-13,2026-09-14,
233254a84b2d:unleaded95,233254a84b2d,unleaded95,1.669,2026-09-13,2026-09-14,
233254a84b2d:unleaded98,233254a84b2d,unleaded98,1.729,2026-09-13,2026-09-14,
23c7b3207f92:diesel,23c7b3207f92,diesel,1.907,2026-09-13,2026-09-14,
23c7b3207f92:heating_oil,23c7b3207f92,heating_oil,1.534,2026-09-13,2026-09-14,
